City name,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Abengourou,6.730000000000003,68.45000000000002,99,57,2.1900000000000004
Abu Dhabi,24.470000000000002,93.20000000000003,59,0,4.700000000000001
Adre,13.47,77.99,59,88,4.8100000000000005
Aginskoye,51.11000000000001,84.64999999999999,31,4,6.459999999999998
Airai,-8.930000000000001,84.11,52,84,3.9399999999999995
Aklavik,68.22000000000001,60.79999999999999,67,75,6.930000000000001
Aksarka,66.55999999999999,83.56999999999998,41,79,16.44
Aksay,51.17000000000001,71.33000000000001,64,100,9.42
Aksu,52.04,84.20000000000002,28,75,4.47
Albany,42.64999999999999,75.20000000000002,83,75,4.32
Alice,-32.790000000000006,61.070000000000014,25,0,9.19
Alice Springs,-23.699999999999992,68.0,28,0,14.990000000000002
Almaznyy,48.02999999999999,69.79999999999998,73,20,8.950000000000001
Alofi,-19.06,77.0,88,41,5.819999999999999
Alta Floresta,-9.870000000000001,66.64999999999999,56,0,1.3000000000000003
Altay,47.82999999999999,69.35000000000001,30,0,6.420000000000001
Alyangula,-13.849999999999996,78.79999999999998,50,87,11.409999999999998
Amahai,-3.31,77.63,86,57,16.22
Ambo,8.980000000000002,58.909999999999975,94,95,4.829999999999999
Ambulu,-8.349999999999998,73.49,85,32,24.360000000000003
Ampanihy,-24.69,69.71000000000001,51,0,6.510000000000001
Anaco,9.430000000000001,73.30999999999999,86,78,6.799999999999998
Ancud,-41.87,50.0,93,90,12.75
Anloga,5.790000000000001,75.20000000000002,94,75,5.819999999999999
Antofagasta,-23.65,55.399999999999984,71,90,1.1200000000000006
Aquiraz,-3.899999999999999,86.0,78,75,8.049999999999999
Aranos,-24.139999999999997,49.19,28,0,11.430000000000001
Arraial do Cabo,-22.970000000000002,66.83000000000001,75,46,24.110000000000007
Arys,42.43,100.4,17,0,8.950000000000001
Aswan,24.089999999999996,89.6,25,0,4.700000000000001
Atar,20.520000000000003,85.19000000000003,39,75,15.169999999999996
Athabasca,54.72000000000002,54.76999999999999,96,34,3.09
Atuona,-9.799999999999999,81.04999999999998,75,15,16.67000000000001
Aurora,41.76,75.99,100,1,3.7800000000000007
Avarua,-21.210000000000004,71.60000000000001,68,21,8.049999999999999
Avera,33.19,82.99,100,1,3.36
Ayan,38.230000000000004,65.21000000000001,40,0,8.159999999999998
Bacabal,-4.230000000000001,70.78999999999999,97,99,2.86
Bako,12.289999999999997,77.09000000000002,73,1,9.349999999999998
Balkanabat,39.51,92.39,36,74,11.099999999999996
Bambous Virieux,-20.34,73.99,56,20,16.110000000000007
Banda Aceh,5.560000000000001,83.56999999999998,75,81,18.37
Bandarbeyla,9.489999999999998,86.63,42,31,34.76
Bar Harbor,44.38999999999999,69.01,88,1,6.930000000000001
Barguzin,53.62,75.83000000000001,36,87,2.1900000000000004
Barra do Garcas,-15.889999999999995,64.30999999999999,79,5,0.27
Barreirinha,-2.8000000000000003,74.02999999999999,85,16,1.8799999999999992
Barrow,-38.31,49.19,65,88,17.920000000000005
Bashtanka,47.399999999999984,69.79999999999998,68,0,2.240000000000001
Bathsheba,13.22,80.60000000000001,78,40,18.34
Batticaloa,7.709999999999998,98.69000000000001,36,93,2.66
Belmonte,40.36000000000001,63.0,67,82,1.9499999999999995
Beloha,-25.170000000000005,70.78999999999999,49,0,11.81
Belyy Yar,53.600000000000016,75.20000000000002,53,0,6.709999999999998
Benguela,-12.580000000000002,60.79999999999999,93,0,4.07
Beni Suef,29.069999999999997,99.04999999999997,18,0,12.769999999999998
Bereda,43.26999999999999,64.99,88,75,9.17
Berlevag,70.86,44.600000000000016,93,75,9.17
Bethel,60.78999999999999,71.60000000000001,46,20,9.17
Bhawana,31.569999999999997,92.56999999999998,53,0,5.3500000000000005
Biggar,52.059999999999995,55.669999999999995,96,93,6.760000000000001
Birao,10.299999999999999,77.27,75,91,3.4200000000000013
Bismil,37.85000000000001,86.0,22,0,9.17
Black River,18.03,82.39999999999999,74,20,3.36
Bloemfontein,-29.12,30.199999999999992,80,0,2.240000000000001
Bluff,-23.579999999999995,70.06999999999998,33,0,2.3700000000000006
Boden,65.83000000000001,55.399999999999984,76,0,4.700000000000001
Bolshevik,54.01,57.20000000000001,87,75,6.709999999999998
Bom Jesus,-9.08,66.28999999999999,54,0,3.149999999999999
Bonavista,48.649999999999984,52.0,79,94,1.01
Bosaso,11.28,93.20000000000003,38,0,26.399999999999995
Bowen,-20.009999999999998,71.60000000000001,49,0,8.049999999999999
Boyolangu,-8.090000000000002,77.45000000000002,64,72,9.19
Brae,60.399999999999984,53.600000000000016,100,75,16.110000000000007
Bredasdorp,-34.529999999999994,52.0,93,64,4.700000000000001
Bredy,52.429999999999986,73.30999999999999,53,48,7.1599999999999975
Brezovo,42.92999999999999,68.0,100,0,3.36
Bubaque,11.28,78.16999999999999,80,100,6.26
Burgeo,47.61000000000001,56.929999999999986,85,84,5.46
Burnie,-41.050000000000004,54.0,61,79,8.989999999999998
Busselton,-33.63999999999999,66.99,48,0,18.539999999999996
Butaritari,3.07,83.93000000000002,69,100,12.33
Cabo San Lucas,22.889999999999993,82.99,51,5,7.310000000000001
Callaguip,18.069999999999997,84.20000000000002,83,90,6.930000000000001
Camalu,30.850000000000005,64.85000000000001,93,7,12.480000000000002
Cape Coast,5.11,74.39,92,64,6.11
Cape Town,-33.93,57.0,87,75,17.22
Carnarvon,-30.97000000000001,47.21,36,0,11.319999999999999
Casablanca,33.60000000000001,69.01,82,75,6.930000000000001
Casper,42.87,64.0,72,1,17.22
Castro,-42.480000000000004,50.0,93,90,12.75
Cayenne,4.9399999999999995,73.39999999999999,94,0,2.9099999999999997
Cehegin,38.09000000000001,73.99,91,0,0.35999999999999993
Celestun,20.87,82.49,79,83,16.889999999999993
Cerritos,33.86000000000001,68.0,82,90,5.819999999999999
Chama,-11.22,65.39,50,3,0.8100000000000004
Changtu,42.779999999999994,88.78999999999998,47,89,16.22
Channel-Port aux Basques,47.57,57.649999999999984,81,89,5.990000000000001
Charagua,-19.789999999999996,58.909999999999975,71,99,1.66
Charleville-Mezieres,49.76999999999999,57.99,87,20,1.1200000000000006
Chaves,-0.15999999999999998,75.83000000000001,88,4,5.88
Cherskiy,68.75,46.67000000000001,56,100,6.079999999999999
Chokurdakh,70.62,42.529999999999994,58,99,11.180000000000001
Chuy,-33.69,47.38999999999999,90,1,4.18
Cidreira,-30.170000000000012,48.470000000000006,96,22,2.64
Clyde River,70.47000000000001,35.60000000000001,100,90,8.049999999999999
Cockburn Town,21.460000000000004,82.13,76,84,18.75
Codrington,-28.949999999999992,71.60000000000001,43,0,5.819999999999999
Coihaique,-45.58,32.0,97,100,5.819999999999999
Comodoro Rivadavia,-45.87,37.39999999999999,64,0,2.240000000000001
Concarneau,47.88,57.20000000000001,100,13,3.36
Concepcion del Oro,24.63,64.85000000000001,62,0,8.340000000000002
Conil,44.970000000000006,57.830000000000005,83,73,1.5
Constitucion,23.990000000000006,63.0,75,100,8.010000000000002
Copiapo,-27.37,51.79999999999999,81,0,3.36
Coquimbo,-29.949999999999992,48.2,87,20,6.930000000000001
Corrente,-17.449999999999996,67.37,69,24,4.8100000000000005
Dakar,14.69,75.20000000000002,83,78,4.700000000000001
Damara,4.96,73.39999999999999,100,20,2.240000000000001
Darhan,49.49,76.73,58,100,3.8699999999999997
Dawei,14.069999999999995,83.56999999999996,76,52,13.51
Debre Tabor,11.860000000000001,66.47000000000001,69,9,3.7100000000000004
Demyansk,57.63999999999999,57.830000000000005,95,94,4.519999999999999
Destin,30.38999999999999,82.0,88,1,4.090000000000002
Dhone,15.400000000000004,91.66999999999997,41,83,14.289999999999994
Diego de Almagro,-26.38999999999999,42.70999999999999,84,0,0.31
Dikson,73.51,38.029999999999994,73,36,15.949999999999998
Dingle,11.0,78.89,86,100,20.199999999999996
Doha,25.29,100.4,33,0,19.460000000000004
Dorado,18.460000000000004,82.39999999999999,74,40,10.289999999999996
Dunedin,-45.87,44.01,69,4,7.0
Dwarka,28.579999999999988,89.01,94,90,6.930000000000001
Dzaoudzi,-12.789999999999996,80.60000000000001,65,75,16.110000000000007
East London,-33.019999999999996,55.399999999999984,50,0,3.36
Egvekinot,66.31999999999998,58.909999999999975,43,97,10.400000000000002
Emerald,-23.529999999999998,71.60000000000001,21,0,12.75
Escanaba,45.75,69.79999999999998,94,1,8.049999999999999
Esperance,-33.86000000000001,68.0,40,0,12.75
Eureka,40.800000000000004,62.01,93,90,9.17
Eyl,7.980000000000003,84.47000000000001,44,10,34.25
Faanui,-16.479999999999997,76.01,78,11,20.09
Fairbanks,64.84000000000002,66.20000000000002,63,40,5.819999999999999
Fairlie,33.31,86.0,74,1,6.930000000000001
Fez,34.02999999999999,64.39999999999999,93,75,5.819999999999999
Filadelfia,-22.349999999999998,61.97000000000002,52,90,7.269999999999997
Flagstaff,35.199999999999996,73.0,21,1,9.17
Flin Flon,54.76999999999999,60.52999999999998,60,85,6.329999999999999
Fonte Boa,-2.5099999999999993,76.01,86,77,2.5300000000000002
Fort Nelson,58.80999999999998,62.600000000000016,72,40,3.36
Fortuna,40.60000000000001,63.0,93,90,9.17
Freeport,26.540000000000003,84.11,74,2,11.269999999999998
Funtua,11.519999999999998,70.43000000000002,93,0,8.049999999999999
Gamboma,-1.8700000000000008,75.64999999999999,75,26,2.8000000000000003
Garowe,8.409999999999998,80.87,49,40,31.540000000000003
Gat,14.69,75.20000000000002,83,72,4.700000000000001
General Roca,-39.02999999999999,35.60000000000001,93,0,3.2199999999999993
Georgetown,6.799999999999998,75.20000000000002,100,40,4.700000000000001
Geraldton,49.72000000000001,62.600000000000016,77,75,2.240000000000001
Ginir,7.14,61.97000000000002,78,64,11.590000000000002
Goderich,43.74,73.0,93,98,5.99
Gorlev,55.54,66.99,87,100,5.819999999999999
Grand Gaube,-20.009999999999998,73.99,56,20,16.110000000000007
Gushikawa,26.350000000000005,89.6,74,75,19.460000000000004
Half Moon Bay,37.459999999999994,63.0,93,90,6.930000000000001
Hambantota,6.12,89.6,66,75,18.34
Hami,42.84000000000001,77.09000000000002,48,100,7.939999999999999
Hamilton,43.26,75.20000000000002,88,75,12.75
Hanyang,32.13999999999999,70.78999999999999,94,100,4.79
Harper,30.300000000000008,79.0,69,1,6.930000000000001
Hasaki,35.730000000000004,86.0,83,20,5.819999999999999
Havoysund,71.0,48.2,87,75,6.930000000000001
Havre-Saint-Pierre,50.23000000000001,60.79999999999999,87,90,3.36
Hermanus,-34.42000000000001,55.0,83,64,3.0
Hidrolandia,-4.409999999999999,69.71000000000001,82,0,2.9499999999999997
Hilo,19.710000000000004,80.01,74,90,9.17
Hirara,24.800000000000008,91.4,70,75,20.800000000000004
Hithadhoo,-0.5999999999999999,80.86999999999999,78,100,13.710000000000006
Hobart,-42.88,51.79999999999999,62,75,13.870000000000003
Hobyo,5.3500000000000005,84.64999999999999,50,78,23.44
Hofn,64.25,40.730000000000004,98,100,3.5799999999999987
Houma,35.63,72.04999999999998,75,100,8.950000000000001
Hualmay,-11.099999999999996,61.25,88,87,14.72
Hunterville,-39.940000000000005,48.99,74,78,8.010000000000002
Husavik,50.56,66.0,71,65,5.97
Ibipeba,-11.64,59.45000000000001,67,0,4.159999999999999
Igarka,67.47000000000001,79.97000000000001,46,0,8.430000000000001
Ilulissat,69.22000000000001,46.399999999999984,65,17,2.2400000000000007
Indianola,40.24,78.79999999999998,69,1,8.049999999999999
Iqaluit,63.75,42.8,87,75,2.240000000000001
Iranshahr,27.209999999999997,98.6,39,0,6.930000000000001
Isangel,-19.550000000000004,75.20000000000002,57,75,5.819999999999999
Itarema,-2.9200000000000004,72.59000000000002,95,1,4.590000000000001
Ivybridge,50.38999999999999,57.99,100,90,2.240000000000001
Iwanai,42.97000000000001,76.01,67,99,2.1499999999999995
Ixtapa,20.710000000000004,82.99,69,90,3.36
Jamestown,-33.209999999999994,49.19,72,98,11.39
Jian,25.649999999999995,95.45000000000003,46,14,3.06
Jiangyou,31.77999999999999,65.75,97,100,2.57
